Formulaire;Millésime;Zone;Type;Donnée;Répétable;Table/Format;Balise XML;Intitulé;Commentaire
DSI01;18;AA;NAD;0000.3164.01;NON;;AdresseVille;Ville;
DSI01;18;AA;NAD;0000.3207.01;NON;;AdresseCodePays;Pays;
DSI01;18;AA;NAD;0000.3251.01;NON;;AdresseCodePostal;Code postal;
DSI01;18;AA;NAD;C059.3042.01;NON;;AdresseNumero, AdresseType, AdresseVoie;Adresse 1;
DSI01;18;AA;NAD;C059.3042.02;NON;;AdresseComplement;Adresse 2;
DSI01;18;AA;NAD;C059.3042.03;NON;;AdresseHameau;Adresse 3;
DSI01;18;AA;NAD;C080.3036.01;NON;;Designation;Nom, Prénom ou désignation;
DSI01;18;AA;NAD;C080.3036.02;NON;;DesignationSuite1;Qualité, Profession ou complément de désignation;
DSI01;18;AB;NAD;0000.3164.01;NON;;AdresseVille;Ville;
DSI01;18;AB;NAD;0000.3207.01;NON;;AdresseCodePays;Pays;
DSI01;18;AB;NAD;0000.3251.01;NON;;AdresseCodePostal;Code postal;
DSI01;18;AB;NAD;C059.3042.01;NON;;AdresseNumero, AdresseType, AdresseVoie;Adresse 1;
DSI01;18;AB;NAD;C059.3042.02;NON;;AdresseComplement;Adresse 2;
DSI01;18;AB;NAD;C059.3042.03;NON;;AdresseHameau;Adresse 3;
DSI01;18;AB;NAD;C080.3036.01;NON;;Designation;Nom, Prénom ou désignation;
DSI01;18;AB;NAD;C080.3036.02;NON;;DesignationSuite1;Qualité, Profession ou complément de désignation;
DSI01;18;AB;NAD;C082.3039.01;NON;;Identifiant;SIRET;
DSI01;18;AC;NAD;0000.3164.01;NON;;AdresseVille;Ville;
DSI01;18;AC;NAD;C080.3036.01;NON;;Designation;Nom, Prénom ou désignation;
DSI01;18;AC;NAD;C080.3036.02;NON;;DesignationSuite1;Qualité, Profession ou complément de désignation;
DSI01;18;BA;DTM;C507.2380.01;NON;602;Valeur;Année des revenus récupérée;Format attendu : yyyy
DSI01;18;BB;DTM;C507.2380.01;NON;102;Valeur;Date de signature;Format attendu : yyyyMMdd
DSI01;18;CA;RFF;C506.1154.01;NON;;Valeur;Numéro NIR sur 13 caractères (la clé ne doit pas être transmise);
DSI01;18;CB;RFF;C506.1154.01;NON;;Valeur;Agence de la SSDI;
DSI01;18;DA;FTX;C108.4440.01;NON;;TexteLibre1;Commentaire ligne 1;
DSI01;18;DA;FTX;C108.4440.02;NON;;TexteLibre2;Commentaire ligne 2;
DSI01;18;DA;FTX;C108.4440.03;NON;;TexteLibre3;Commentaire ligne 3;
DSI01;18;DA;FTX;C108.4440.04;NON;;TexteLibre4;Commentaire ligne 4;
DSI01;18;DA;FTX;C108.4440.05;NON;;TexteLibre5;Commentaire ligne 5;
DSI02;18;A3;CCI;C889.7111.01;NON;TBX;Valeur;Option formulaire électronique;
DSI02;18;WN;MOA;C516.5004.01;NON;;Valeur;Exercice d'une activité non salariée agricole : Déficit;
DSI02;18;WP;MOA;C516.5004.01;NON;;Valeur;Exercice d'une activité non salariée agricole : Bénéfice;
DSI02;18;XA;MOA;C516.5004.01;NON;;Valeur;EI : Bénéfice;
DSI02;18;XB;MOA;C516.5004.01;NON;;Valeur;EI : Déficit;
DSI02;18;XC;MOA;C516.5004.01;NON;;Valeur;EI : Régimes micro-entreprises - Micro-BIC (ventes);
DSI02;18;XD;MOA;C516.5004.01;NON;;Valeur;EI : Régimes micro-entreprises - Micro-BIC (prestations);
DSI02;18;XE;MOA;C516.5004.01;NON;;Valeur;EI : Régimes micro-entreprises - Micro-BNC;
DSI02;18;XF;MOA;C516.5004.01;NON;;Valeur;EI : Revenus exonérés;
DSI02;18;XG;MOA;C516.5004.01;NON;;Valeur;EIRL : Rémunération;
DSI02;18;XH;MOA;C516.5004.01;NON;;Valeur;EIRL : Dividendes (supérieurs à 10 %);
DSI02;18;XI;MOA;C516.5004.01;NON;;Valeur;Cotisations obligatoires : Montant à déduire;
DSI02;18;XJ;MOA;C516.5004.01;NON;;Valeur;Cotisations facultatives;
DSI02;18;XK;CCI;C889.7111.01;NON;TBX;Valeur;Exercice d'une activité hors de France;
DSI02;18;XO;MOA;C516.5004.01;NON;;Valeur;Remises Nettes pour les débitants de tabac;
DSI02;18;XR;MOA;C516.5004.01;NON;;Valeur;Cotisations obligatoires : Montant à déduire;
DSI02;18;XS;MOA;C516.5004.01;NON;;Valeur;Revenus d'activité non salariée dans un autre Etat de l'UE, EEE ou en Suisse (revenus exprimés en euros) : Bénéfice;
DSI02;18;XT;MOA;C516.5004.01;NON;;Valeur;Revenus d'activité non salariée dans un autre Etat de l'UE, EEE ou en Suisse (revenus exprimés en euros) : Déficit;
DSI02;18;XU;MOA;C516.5004.01;NON;;Valeur;Médecins et pédicures-podologues conventionnés (régimes ASV), montant des revenus tirés de l'activité conventionnée : Bénéfice;
DSI02;18;XV;MOA;C516.5004.01;NON;;Valeur;Médecins et pédicures-podologues conventionnés (régimes ASV), montant des revenus tirés de l'activité conventionnée : Déficit;
