Formulaire;Millésime;Zone;Type;Donnée;Répétable;Table/Format;Balise XML;Intitulé;Commentaire
2042-I-0;17;AA;DTM;C507.2380.01;NON;602;Valeur;Année N de perception des revenus;SSAA, Format attendu : yyyy
2042-I-0;17;BA;NAD;C076.3148.01;NON;TE;Telephone;Déclarant 1 - Téléphone Fixe;minimum = 10 numérique  maximum 13 numérique
2042-I-0;17;BA;NAD;C076.3148.01;NON;AL;TelephonePortable;Déclarant 1 - Téléphone portable;minimum = 10 numérique  maximum 13 numérique
2042-I-0;17;BA;NAD;C076.3148.01;NON;EM;Email;Déclarant 1 - Mél;60 alpha-num @ 60 alph-num
2042-I-0;17;BA;NAD;C082.3039.01;NON;;Identifiant;Déclarant 1 - SPI;13 numérique fixe
2042-I-0;17;BC;DTM;C507.2380.01;NON;102;Valeur;Déclarant 1 - Date de nassaissance connue du SI DGFiP;SSAAMMJJ, Format attendu : yyyyMMdd
2042-I-0;17;CA;NAD;C076.3148.01;NON;TE;Telephone;Déclarant 2- Téléphone Fixe;minimum = 10 numérique  maximum 13 numérique
2042-I-0;17;CA;NAD;C076.3148.01;NON;AL;TelephonePortable;Déclarant 2 - Téléphone portable;minimum = 10 numérique  maximum 13 numérique
2042-I-0;17;CA;NAD;C076.3148.01;NON;EM;Email;Déclarant 2 - Mél;60 alpha-num @ 60 alph-num
2042-I-0;17;CA;NAD;C082.3039.01;NON;;Identifiant;Déclarant 2 - SPI;13 numérique fixe
2042-I-0;17;CC;DTM;C507.2380.01;NON;102;Valeur;Déclarant 2 - Date de naissance connue du SI DGFiP;SSAAMMJJ, Format attendu : yyyyMMdd
2042-I-1;17;AA;CCI;C889.7111.01;NON;QLT;Valeur;Qualité de la personne;
2042-I-1;17;AB;CCI;C889.7111.01;NON;TIT;Valeur;Civilité;
2042-I-1;17;AC;DTM;C507.2380.01;NON;102;Valeur;Date de naissance;SSAAMMJJ, Format attendu : yyyyMMdd
2042-I-1;17;AD;NAD;C080.3036.01;NON;;Designation;Nom de naissance;35 alpha
2042-I-1;17;AD;NAD;C080.3036.02;NON;;DesignationSuite1;Prénoms;30 alpha
2042-I-1;17;AD;NAD;C819.3228.01;NON;;AdresseDivisionTerritoriale;Si né en France (code 99100), code INSEE département/commune ou DOM-COM/commune;5 alphanumérique fixe
2042-I-1;17;AD;NAD;C819.3229.01;NON;;AdresseCodeDivisionTerritoriale;Déclarant 1 -  Pays de naissance (code INSEE);5 numérique fixe
2042-I-1;17;AE;CCI;C889.7111.01;NON;TBX;Valeur;Rectification de l'état civil pour D1 et/ou D2;
2042-I-1;17;AH;NAD;C080.3036.01;NON;;Designation;Nom d'usage ou marital;35 alpha
2042-I-1;17;CA;CCI;C889.7111.01;NON;TBX;Valeur;Vous vivez seul au 01/01/N et vous avez un enfant : - majeur non rattaché au foyer fiscal (ou mineur imposé en son nom propre), - ou décédé après l'âge de 16 ans ou par suite de faits de guerre, et vous avez élevé cet enfant pendant au moins 5 années au cours desquelles vous viviez seul;
2042-I-1;17;CB;CCI;C889.7111.01;NON;TBX;Valeur;Contribuable ne vivant pas seul au 01/01/N;
2042-I-1;17;CC;CCI;C889.7111.01;NON;TBX;Valeur;Déclarant 1 titulaire d'une pension (militaire, accident du travail) pour invalidité d'au moins 40% ou de la carte d'invalidité ou de la carte mobilité inclusion (CMI) invalidité;
2042-I-1;17;CD;CCI;C889.7111.01;NON;TBX;Valeur;Vous êtes célibataire, divorcé, séparé, veuf et : - vous avez plus de 74 ans et remplissez ces conditions, - vous avez plus de 74 ans et votre conjoint décédé remplissait ces conditions , - votre conjoint âgé de plus de 74 ans décédé en N remplissait ces conditions.;
2042-I-1;17;CE;CCI;C889.7111.01;NON;TBX;Valeur;Vous êtes mariés ou pacsés et l'un des deux déclarants âgé de plus de 74 ans remplit ces conditions;
2042-I-1;17;CF;CCI;C889.7111.01;NON;TBX;Valeur;Veuve tituliare d'une pension de veuve de guerre;
2042-I-1;17;CG;CCI;C889.7111.01;NON;TBX;Valeur;Vous êtes célibataire, divorcé, séparé et, au 01/01/N, vous vivez seul avec vos enfants ou des personnes invalides recueillies sous votre toit;
2042-I-1;17;DA;CCI;C889.7111.01;NON;TBX;Valeur;Votre conjoint remplit ses conditions, ou votre conjoint, décédé en N, remplissait ces conditions;
2042-I-1;17;EA;CCI;C889.7111.01;NON;TBX;Valeur;Enfant non marié de moins de 18 ans au 01/01/N ou nés en N ou handicapé quel que soit l'âge;
2042-I-1;17;EB;CCI;C889.7111.01;NON;TBX;Valeur;Veuillez indiquer si cet enfant est tituliare d'une carte d'invalidité;
2042-I-1;17;EC;CCI;C889.7111.01;NON;TBX;Valeur;Enfant non marié de moins de 18 ans au 1er janvier N ou né en N ou handicapé quel que soit l'âge;
2042-I-1;17;ED;CCI;C889.7111.01;NON;TBX;Valeur;Veuillez indiquer si cet enfant est titulaire d'une carte d'invalidité;
2042-I-1;17;EE;NAD;0000.3164.01;NON;;AdresseVille;Adresse de l'autre parent - Ville;35 alphanumérique
2042-I-1;17;EE;NAD;0000.3251.01;NON;;AdresseCodePostal;Adresse de l'autre parent - Code postal;5 alphanumérique fixe
2042-I-1;17;EE;NAD;C059.3042.01;NON;;AdresseNumero, AdresseRepetabilite, AdresseVoie;Adresse de l'autre parent - N°, [0..9/A..Z] libellé voie;35 alphanumérique dont position 1 à 4 : numérique  position 5 : [0..9/A..Z]
2042-I-1;17;EE;NAD;C059.3042.02;NON;;AdresseComplement;Adresse de l'autre parent - Complément;35 alphanumérique
2042-I-1;17;EE;NAD;C059.3042.03;NON;;AdresseHameau;Adresse de l'autre parent - Lieu dit, Hameau;35 alphanumérique
2042-I-1;17;EE;NAD;C080.3036.01;NON;;Designation;Nom de l'autre parent;35 alpha
2042-I-1;17;EE;NAD;C080.3036.02;NON;;DesignationSuite1;Prénoms de l'autre parent;35 alpha
2042-I-1;17;EF;CCI;C889.7111.01;NON;TBX;Valeur;Personne titulaire de la carte d'invalidité d'au moins 80%;
