Formulaire;Millésime;Zone;Type;Donnée;Répétable;Table/Format;Balise XML;Intitulé;Commentaire
2571;17;CA;MOA;C516.5004.01;NON;;Valeur;Impôt sur les sociétés - Montant à payer;
2571;17;CC;MOA;C516.5004.01;NON;;Valeur;Contribution sur les Revenus Locatifs;
2571;17;CD;MOA;C516.5004.01;NON;;Valeur;Contribution Sociale - Montant à payer;
2571;17;CE;MOA;C516.5004.01;NON;;Valeur;Montant d'impôt sur les sociétés et contributions assimilées à payer;
2571;17;CG;MOA;C516.5004.01;NON;;Valeur;Montant à payer de la contribution additionnelle à l'impôt sur les sociétés sur les dividendes;
2571;17;CH;MOA;C516.5004.01;NON;;Valeur;Montant total à payer;
2571;17;CL;MOA;C516.5004.01;NON;;Valeur;Montant à payer de la plus-value article 208C du CGI (SIIC);
2571;17;DA;CCI;C889.7111.01;NON;TBX;Valeur;Impôt sur les sociétés - Minoration (art. v1668 du CGI) - case à cocher;
2571;17;DB;CCI;C889.7111.01;NON;TBX;Valeur;Contribution Sociale - Minoration (art. v1668 du CGI) - case à cocher;
2571;17;FA;MOA;C516.5004.01;NON;;Valeur;Impôt sur les sociétés - Imputation;
2571;17;FB;MOA;C516.5004.01;NON;;Valeur;Imputation IS, dont crédit d'impôt compétitivité;
2571;17;FC;MOA;C516.5004.01;NON;;Valeur;Imputation IS, dont report en arrière de déficit;
2571;17;FD;MOA;C516.5004.01;NON;;Valeur;Imputation IS, dont crédit d'impôt pour investissement en Corse;
2571;17;FE;MOA;C516.5004.01;NON;;Valeur;Imputation IS, dont crédit d'impôt recherche;
2571;17;FF;MOA;C516.5004.01;NON;;Valeur;Imputation IS, dont mécénat;
2571;17;FG;MOA;C516.5004.01;NON;;Valeur;Imputation IS, dont excédent du précédent exercice;
2571;17;FH;MOA;C516.5004.01;NON;;Valeur;Dont Paiement par imputation;
2571;17;FK;CCI;C889.7111.01;NON;IMR;Valeur;Dont Contribution utilisée pour l'imputation (TS /TVA/TVS);TS, TVA,TVS
2571;17;FM;DTM;C507.2380.01;NON;102;Valeur;Dont Date échéance de la contribution utilisée;SSAAMMJJ, Format attendu : yyyyMMdd
2571;17;FN;MOA;C516.5004.01;NON;;Valeur;Montant de l'imposition à payer après imputation;
2572;17;AD;MOA;C516.5004.01;NON;;Valeur;Totaux - Montant restant à payer;
2572;17;BD;MOA;C516.5004.01;NON;;Valeur;Totaux - Excédents constatés;
2572;17;CA;MOA;C516.5004.01;NON;;Valeur;Montant total à payer (= (case 05 - case 10) ou = 0 si montant négatif );
2572;17;DA;MOA;C516.5004.01;NON;;Valeur;Montant total de l'excédent (= (case 10 - case 05) ou = 0 si montant négatif);
2572;17;EA;MOA;C516.5004.01;NON;;Valeur;Montant de l'excédent imputé sur le premier acompte de l'exercice suivant;
2572;17;EB;MOA;C516.5004.01;NON;;Valeur;Remboursement d'excédent de versement demandé (case 12 - case 13 - case 130);
2572;17;GC;MOA;C516.5004.01;NON;;Valeur;Impôt sur les plus values nettes;
2572;17;GD;MOA;C516.5004.01;NON;;Valeur;Autre impôt à taux particulier;
2572;17;GE;MOA;C516.5004.01;NON;;Valeur;Total de l'IS brut;
2572;17;IA;MOA;C516.5004.01;NON;;Valeur;Données utiles au calcul des acomptes de l'exercice suivant - Montant d'Impôt exclu du calcul des acomptes IS;
2572;17;JA;MOA;C516.5004.01;NON;;Valeur;Créances non reportables et non restituables - Crédits d'impôts sur valeurs mobilières imputables sur l'IS;
2572;17;KA;MOA;C516.5004.01;NON;;Valeur;Créances non reportables et restituables - FOR Crédit d'impôt formation des dirigeants d'entreprise;
2572;17;KB;MOA;C516.5004.01;NON;;Valeur;Créances non reportables et restituables - FAM Crédits d'impôt famille;
2572;17;KC;MOA;C516.5004.01;NON;;Valeur;Créances non reportables et restituables - APR Crédit d'impôt en faveur de l'apprentissage;
2572;17;KD;MOA;C516.5004.01;NON;;Valeur;CIO - Crédit d'impôt Outre mer Productif;
2572;17;LA;MOA;C516.5004.01;NON;;Valeur;Créances reportables et restituables - CIR Crédit impôt recherche au titre de  N;
2572;17;LB;MOA;C516.5004.01;NON;;Valeur;Créances reportables et restituables - RAD Report en arrière de déficits au titre de N;
2572;17;LC;MOA;C516.5004.01;NON;;Valeur;Créances reportables et non restituables - MEC Réduction d'impôt au titre du mécénat au titre de N;
2572;17;LD;MOA;C516.5004.01;NON;;Valeur;Créances reportables et non restituables - Dont réduction d'impôt au titre du mécénat provenant de dons effectués à des organismes situés en UE/EEE;
2572;17;LE;MOA;C516.5004.01;NON;;Valeur;Créances reportables et restituables - CIC Crédit d'impôt Compétitivité Emploi - dont préfinancement;
2572;17;LF;MOA;C516.5004.01;NON;;Valeur;Créances reportables et restituables - CIC Crédit d'impôt Compétitivité Emploi au titre de  N;
2572;17;MA;MOA;C516.5004.01;NON;;Valeur;Créances non reportables et non restituables - Crédits d'impôts étrangers, autres que sur valeurs mobilières,  imputables sur IS;
2572;17;MB;MOA;C516.5004.02;NON;;Valeur;Créances non reportables et non restituables - Crédits d'impôt étrangers, autres que sur valeurs mobilières;
2572;17;MD;MOA;C516.5004.01;NON;;Valeur;Créances non reportables et non restituables - Nouvelles créances non répertoriées ci-dessus;
2572;17;ME;MOA;C516.5004.01;NON;;Valeur;Crédit d'impôts étrangers, autres que valeurs mobilières;
2572;17;MH;MOA;C516.5004.01;NON;;Valeur;VEL - Réduction d'impôt pour mise à disposition d'une flotte de vélos;
2572;17;NA;MOA;C516.5004.01;NON;;Valeur;Créances non reportables et restituables - RAC Crédit pour le rachat d'une entreprise par ses salariés;
2572;17;NB;MOA;C516.5004.01;NON;;Valeur;Créances non reportables et restituables - CIN Crédit d'impôt pour dépenses de production d'oeuvres cinématographiques;
2572;17;NC;MOA;C516.5004.01;NON;;Valeur;Créances non reportables et restituables - EXP Crédit d'impôt pour dépenses de prospection commerciale;
2572;17;ND;MOA;C516.5004.01;NON;;Valeur;Créances non reportables et restituables - PTZ Crédit d'impôt en faveur de la premiére accession à la propriété;
2572;17;NE;MOA;C516.5004.01;NON;;Valeur;Créances non reportables et restituables - BIO Crédit d'impôt en faveur de l'agriculture biologique;
2572;17;NF;MOA;C516.5004.01;NON;;Valeur;Créances non reportables et restituables - PHO Crédit d'impôt pour production d'oeuvre phonographique;
2572;17;NG;MOA;C516.5004.01;NON;;Valeur;Créances non reportables et restituables - MAI Crédit d'impôt en faveur des maîtres restaurateurs;
2572;17;NJ;MOA;C516.5004.01;NON;;Valeur;Créances non reportables et restituables - ART Crédit d'impôt en faveur des métiers d'art;
2572;17;NK;MOA;C516.5004.01;NON;;Valeur;Créances non reportables et restituables - CJV Crédit d'impôt en faveur des créateurs de jeux vidéo;
2572;17;NL;MOA;C516.5004.01;NON;;Valeur;Créances non reportables et restituables -  CAI Crédit d'impôt en faveur de l'intéressement;
2572;17;NM;MOA;C516.5004.01;NON;;Valeur;Créances non reportables et restituables - CPE Crédit d'impôt sur les avances remboursables pour travaux d'amélioration de la performance énergétique;
2572;17;NN;MOA;C516.5004.01;NON;;Valeur;Créances non reportables et restituables - CCI Crédit d'impôt cinéma international;
2572;17;NO;MOA;C516.5004.01;NON;;Valeur;Créances non reportables et restituables - Nouvelles créances non répertoriées ci - dessus;
2572;17;OB;MOA;C516.5004.01;NON;;Valeur;Créances reportables et restituables  - COR Crédit d'impôt pour investissement en Corse au titre de N;
2572;17;OC;MOA;C516.5004.01;NON;;Valeur;Créances reportables et restituables - Nouvelles créances non répertoriées de N;
2572;17;OD;MOA;C516.5004.01;NON;;Valeur;Créances non reportables et restituables - PTR Crédit d'impôt prêt à taux zéro renforcé PTZ+;
2572;17;OE;MOA;C516.5004.01;NON;;Valeur;CIO - Crédit d'impôt Outre mer Productif - Montant du préfinancement;
