Formulaire;Millésime;Zone;Type;Donnée;Répétable;Table/Format;Balise XML;Intitulé;Commentaire
2033A;09;AA;MOA;C516.5004.01;NON;;Valeur;Immobilisations incorporelles, fonds commercial, brut;
2033A;09;AB;MOA;C516.5004.01;NON;;Valeur;Autres immobilisations incorporelles, brut;
2033A;09;AC;MOA;C516.5004.01;NON;;Valeur;Immobilisations corporelles, brut;
2033A;09;AD;MOA;C516.5004.01;NON;;Valeur;Immobilisations financières, brut;
2033A;09;AE;MOA;C516.5004.01;NON;;Valeur;Total I de l'actif immobilisé, brut;
2033A;09;AF;MOA;C516.5004.01;NON;;Valeur;Stocks de matières premières, d'approvisionnements et en cours de production, brut;
2033A;09;AG;MOA;C516.5004.01;NON;;Valeur;Stocks de marchandises, brut;
2033A;09;AH;MOA;C516.5004.01;NON;;Valeur;Avances et acomptes versés sur commandes, brut;
2033A;09;AJ;MOA;C516.5004.01;NON;;Valeur;Créances clients et comptes rattachés, brut;
2033A;09;AK;MOA;C516.5004.01;NON;;Valeur;Autres créances, brut;
2033A;09;AL;MOA;C516.5004.01;NON;;Valeur;Valeurs mobilières de placement, brut;
2033A;09;AM;MOA;C516.5004.01;NON;;Valeur;Disponibilités, brut;
2033A;09;AP;MOA;C516.5004.01;NON;;Valeur;Charges constatées d'avance, brut;
2033A;09;AQ;MOA;C516.5004.01;NON;;Valeur;Total II de l'actif circulant, brut;
2033A;09;AR;MOA;C516.5004.01;NON;;Valeur;Total général de l'actif, brut;
2033A;09;BA;MOA;C516.5004.01;NON;;Valeur;Immobilisations incorporelles, fonds commercial, amortissements et provisions;
2033A;09;BB;MOA;C516.5004.01;NON;;Valeur;Autres immobilisations incorporelles, amortissements et provisions;
2033A;09;BC;MOA;C516.5004.01;NON;;Valeur;Immobilisations corporelles, amortissements et provisions;
2033A;09;BD;MOA;C516.5004.01;NON;;Valeur;Immobilisations financières, amortissements et provisions;
2033A;09;BE;MOA;C516.5004.01;NON;;Valeur;Total I de l'actif immobilisé, amortissements et provisions;
2033A;09;BF;MOA;C516.5004.01;NON;;Valeur;Stocks de matières premières, d'approvisionnements et en cours de production, amortissements et provisions;
2033A;09;BG;MOA;C516.5004.01;NON;;Valeur;Stocks de marchandises, amortissements et provisions;
2033A;09;BH;MOA;C516.5004.01;NON;;Valeur;Avances et acomptes versés sur commandes, amortissements et provisions;
2033A;09;BJ;MOA;C516.5004.01;NON;;Valeur;Créances clients et comptes rattachés, amortissements et provisions;
2033A;09;BK;MOA;C516.5004.01;NON;;Valeur;Autres créances, amortissements et provisions;
2033A;09;BL;MOA;C516.5004.01;NON;;Valeur;Valeurs mobilières de placement, amortissements et provisions;
2033A;09;BM;MOA;C516.5004.01;NON;;Valeur;Disponibilités, amortissements et provisions;
2033A;09;BP;MOA;C516.5004.01;NON;;Valeur;Charges constatées d'avance, amortissements et provisions;
2033A;09;BQ;MOA;C516.5004.01;NON;;Valeur;Total II de l'actif circulant, amortissements et provisions;
2033A;09;BR;MOA;C516.5004.01;NON;;Valeur;Total général de l'actif, amortissements et provisions;
2033A;09;CA;MOA;C516.5004.01;NON;;Valeur;Immobilisations incorporelles, fonds commercial, net N;
2033A;09;CB;MOA;C516.5004.01;NON;;Valeur;Autres immobilisations incorporelles, net N;
2033A;09;CC;MOA;C516.5004.01;NON;;Valeur;Immobilisations corporelles, net N;
2033A;09;CD;MOA;C516.5004.01;NON;;Valeur;Immobilisations financières, net N;
2033A;09;CE;MOA;C516.5004.01;NON;;Valeur;Total I de l'actif immobilisé, net N;
2033A;09;CF;MOA;C516.5004.01;NON;;Valeur;Stocks de matières premières, d'approvisionnements et en cours de production, net N;
2033A;09;CG;MOA;C516.5004.01;NON;;Valeur;Stocks de marchandises, net N;
