Formulaire;Millésime;Zone;Type;Donnée;Répétable;Table/Format;Balise XML;Intitulé;Commentaire
1330CVAE;17;AB;MOA;C516.5004.01;NON;;Valeur;Valeur ajoutée soumise à la CVAE;
1330CVAE;17;AC;MOA;C516.5004.01;NON;;Valeur;Chiffre d'affaires de référence;
1330CVAE;17;AD;CCI;C889.7111.01;NON;TBX;Valeur;Entreprise mono établissement et n'employant pas de salariés exerçant une activité de plus de trois mois dans plusieurs communes (chantiers, missions);
1330CVAE;17;AE;DTM;C507.2380.01;NON;102;Valeur;Date de signature de la déclaration;Format attendu : yyyyMMdd
1330CVAE;17;AF;NAD;0000.3164.01;NON;;AdresseVille;Ville de signature de la déclaration;SIGNATURE
1330CVAE;17;AF;NAD;C080.3036.01;NON;;Designation;Nom du signataire de la déclaration;SIGNATURE
1330CVAE;17;AF;NAD;C080.3036.02;NON;;DesignationSuite1;Qualité du signataire de la déclaration;SIGNATURE
1330CVAE;17;AF;NAD;C080.3036.03;NON;;DesignationSuite2;Signature du déclarant, titre du signataire;SIGNATURE
1330CVAE;17;AG;MOA;C516.5004.01;NON;;Valeur;Chiffre d'affaires de référence du groupe;
1330CVAE;17;AH;DTM;C507.2380.01;NON;102;Valeur;Date de cessation de l'entreprise;Format attendu : yyyyMMdd
1330CVAE;17;BA;NAD;0000.3164.01;OUI;;AdresseVille;Commune de localisation de l'établissement (1);IDENTIFIANT COMMUNE
1330CVAE;17;BA;NAD;C082.3039.01;OUI;;Identifiant;NIC de l'établissement (1);IDENTIFIANT COMMUNE
1330CVAE;17;BB;NAD;0000.3164.01;OUI;;AdresseVille;Commune de localisation de l'établissement (2);IDENTIFIANT COMMUNE
1330CVAE;17;BB;NAD;C082.3039.01;OUI;;Identifiant;NIC de l'établissement (2);IDENTIFIANT COMMUNE
1330CVAE;17;BC;NAD;0000.3164.01;OUI;;AdresseVille;Commune de localisation de l'établissement (3);IDENTIFIANT COMMUNE
1330CVAE;17;BC;NAD;C082.3039.01;OUI;;Identifiant;NIC de l'établissement (3);IDENTIFIANT COMMUNE
1330CVAE;17;BD;NAD;0000.3164.01;OUI;;AdresseVille;Commune de localisation de l'établissement (4);IDENTIFIANT COMMUNE
1330CVAE;17;BD;NAD;C082.3039.01;OUI;;Identifiant;NIC de l'établissement (4);IDENTIFIANT COMMUNE
1330CVAE;17;BE;NAD;0000.3164.01;OUI;;AdresseVille;Commune de localisation de l'établissement (5);IDENTIFIANT COMMUNE
1330CVAE;17;BE;NAD;C082.3039.01;OUI;;Identifiant;NIC de l'établissement (5);IDENTIFIANT COMMUNE
