Formulaire;Millésime;Zone;Type;Donnée;Répétable;Table/Format;Balise XML;Intitulé;Commentaire
3310A;18;AE;MOA;C516.5004.01;NON;;Valeur;Ligne utilisable pour un nouveau taux en métropole (base hors taxe)   (ligne à blanc);
3310A;18;AF;MOA;C516.5004.01;NON;;Valeur;Ligne utilisable pour un nouveau taux en métropole (taxe due)   (ligne à blanc);
3310A;18;BA;MOA;C516.5004.01;NON;;Valeur;Retenue de TVA sur droits d'auteur base HT;
3310A;18;BB;MOA;C516.5004.01;NON;;Valeur;Opérations imposables en France continentale à un taux particulier taux 2,10% base HT;
3310A;18;BC;MOA;C516.5004.01;NON;;Valeur;Opérations imposables en France continentale à un taux particulier, ancien taux base HT;
3310A;18;BE;MOA;C516.5004.01;NON;;Valeur;Opérations imposables en Corse à un taux particulier taux 0,90% base HT;
3310A;18;BF;MOA;C516.5004.01;NON;;Valeur;Opérations imposables en Corse à un taux particulier taux 2,10% base HT;
3310A;18;BK;MOA;C516.5004.01;NON;;Valeur;Opérations imposables en Corse à un taux particulier taux 13% base HT;
3310A;18;BM;MOA;C516.5004.01;NON;;Valeur;Opérations imposables en Corse à un taux particulier, anciens taux base HT;
3310A;18;BN;MOA;C516.5004.01;NON;;Valeur;Total TVA sur droits d'auteurs et TVA due à taux particuliers base HT;
3310A;18;BP;MOA;C516.5004.01;NON;;Valeur;Opérations imposables dans les DOM à un taux particulier, taux 1,05%, base HT;
3310A;18;BQ;MOA;C516.5004.01;NON;;Valeur;Opérations imposables dans les DOM à un taux particulier, taux 1,75%, base HT;
3310A;18;BR;MOA;C516.5004.01;NON;;Valeur;Opérations imposables dans les DOM à un ancien taux, base HT;
3310A;18;BS;MOA;C516.5004.01;NON;;Valeur;Opérations imposables en Corse à un taux particulier taux 10% base HT;
3310A;18;CA;MOA;C516.5004.01;NON;;Valeur;Retenue de TVA sur droits d'auteur taxe due;
3310A;18;CB;MOA;C516.5004.01;NON;;Valeur;Opérations imposables en France continentaleà un taux particulier taux 2,10% taxe due;
3310A;18;CC;MOA;C516.5004.01;NON;;Valeur;Opérations imposables en France continentale à un taux particulier anciens taux taxe due;
3310A;18;CE;MOA;C516.5004.01;NON;;Valeur;Opérations imposables en Corse à un taux particulier taux 0,90% taxe due;
3310A;18;CF;MOA;C516.5004.01;NON;;Valeur;Opérations imposables en Corse à un taux particulier taux 2,10 % taxe due;
3310A;18;CK;MOA;C516.5004.01;NON;;Valeur;Opérations imposables en Corse à un taux particulier taux 13% taxe due;
3310A;18;CM;MOA;C516.5004.01;NON;;Valeur;Opérations imposables en Corse à un taux particulier anciens taux taxe due;
3310A;18;CN;MOA;C516.5004.01;NON;;Valeur;Total TVA sur droits d'auteurs et TVA due à taux particuliers taxe due;
3310A;18;CP;MOA;C516.5004.01;NON;;Valeur;Opérations imposables dans les DOM à un taux particulier, taux 1,05%, taxe due;
3310A;18;CQ;MOA;C516.5004.01;NON;;Valeur;Opérations imposables dans les DOM à un taux particulier, taux 1,75%, taxe due;
3310A;18;CR;MOA;C516.5004.01;NON;;Valeur;Opérations imposables dans les DOM à un ancien taux, taxe due;
3310A;18;CS;MOA;C516.5004.01;NON;;Valeur;Opérations imposables en Corse à un taux particulier taux 10% taxe due;
3310A;18;DA;FTX;C108.4440.01;NON;;TexteLibre1;Commentaires, ligne 1;1ère zone de 512 c
3310A;18;DA;FTX;C108.4440.02;NON;;TexteLibre2;Commentaires type 4, ligne 2;2ème zone de 512 c
3310A;18;DA;FTX;C108.4440.03;NON;;TexteLibre3;Commentaires type 4, ligne 3;3ème zone de 512 c
3310A;18;DA;FTX;C108.4440.04;NON;;TexteLibre4;Commentaires type 4, ligne 4;4ème zone de 512 c
3310A;18;DA;FTX;C108.4440.05;NON;;TexteLibre5;Commentaires type 4, ligne 5;5ème zone de 512 c
3310A;18;DB;CCI;C889.7111.01;NON;TBX;Valeur;Mention expresse type 4;Table TBX avec X pour sélectionné, CCI/7037 = CAV/1131 = TBX
3310A;18;FA;MOA;C516.5004.01;NON;;Valeur;Taxe sur certaines dépenses de publicité;
3310A;18;FB;MOA;C516.5004.01;NON;;Valeur;Taxe sur les retransmissions sportives;
3310A;18;FE;MOA;C516.5004.01;NON;;Valeur;Redevance sur les ouvrages de librairie édités au taux de 0,20%;
3310A;18;FF;MOA;C516.5004.01;NON;;Valeur;Taxe sur les appareils de reproduction ou d'impression au taux de 3,25 %;
3310A;18;FG;MOA;C516.5004.01;NON;;Valeur;Taxe sur les huiles alimentaires;
3310A;18;FJ;MOA;C516.5004.01;NON;;Valeur;Taxe due par les concessionnaires d'autoroute;
3310A;18;FR;MOA;C516.5004.01;NON;;Valeur;Taxe sur la publicité télévisée;
3310A;18;FT;MOA;C516.5004.01;NON;;Valeur;Taxe sur les actes des huissiers de justice;
3310A;18;FV;MOA;C516.5004.01;NON;;Valeur;Taxe sur l'embarquement et le débarquement de passagers en Corse;
3310A;18;HB;MOA;C516.5004.01;NON;;Valeur;Récapitulation, Total des taxes parafiscales (bis);
3310A;18;HE;MOA;C516.5004.01;NON;;Valeur;Taxe sur le chiffre d'affaires des exploitants agricoles;
3310A;18;HF;MOA;C516.5004.01;NON;;Valeur;Taxe sur la publicité diffusée par voie de radiodiffusion sonore et de télévision;
3310A;18;HI;MOA;C516.5004.01;NON;;Valeur;Taxe pour le développement de la formation professionnelle dans les métiers de la réparation de l'automobile, du cycle et du motocycle au taux de 0,75 %;
3310A;18;JA;FTX;C108.4440.01;NON;;TexteLibre1;Texte libre liquidation TCA, ligne 1;1ère zone de 512 c
3310A;18;JA;FTX;C108.4440.02;NON;;TexteLibre2;Texte libre liquidation TCA, ligne 2;2ème zone de 512 c
3310A;18;JA;FTX;C108.4440.03;NON;;TexteLibre3;Texte libre liquidation TCA, ligne 3;3ème zone de 512 c
3310A;18;JA;FTX;C108.4440.04;NON;;TexteLibre4;Texte libre liquidation TCA, ligne 4;4ème zone de 512 c
3310A;18;JA;FTX;C108.4440.05;NON;;TexteLibre5;Texte libre liquidation TCA, ligne 5;5ème zone de 512 c
3310A;18;JB;MOA;C516.5004.01;NON;;Valeur;Contribution à l?audiovisuel public (ex-redevance audiovisuelle) (CGI, art 1605 et suiv.);
3310A;18;JC;MOA;C516.5004.01;NON;;Valeur;Contribution à l'audiovisuel public (ex-redevance audiovisuelle) due par les loueurs d'appareils;
3310A;18;JD;MOA;C516.5004.01;NON;;Valeur;Contribution perçue au profit de l'INPES;
3310A;18;JE;MOA;C516.5004.01;NON;;Valeur;Taxe sur les boues d'épuration urbaines et industrielles;
3310A;18;JF;MOA;C516.5004.01;NON;;Valeur;Taxe sur les excédents de provision des entreprises d'assurances de dommages (CGI, art. 235 ter X);
3310A;18;JG;MOA;C516.5004.01;NON;;Valeur;Taxe sur les ordres annulés dans le cadre d'opérations à haute fréquence (CGI, art. 235 ter ZD bis);
3310A;18;JH;MOA;C516.5004.01;NON;;Valeur;Taxe de risque systémique (CGI, art. 235 ter ZE);
3310A;18;JJ;MOA;C516.5004.01;NON;;Valeur;Taxe sur le résultat des entreprises ferroviaires (CGI, art. 235 ter ZF);
3310A;18;JK;MOA;C516.5004.01;NON;;Valeur;Contribution de solidarité territoriale (CGI, art. 302 bis ZC);
3310A;18;JL;MOA;C516.5004.01;NON;;Valeur;Imposition forfaitaire sur les pylônes (CGI, art. 1519 A);
3310A;18;JM;MOA;C516.5004.01;NON;;Valeur;Taxe sur les éoliennes maritimes (CGI, art. 1519 B);
3310A;18;JN;MOA;C516.5004.01;NON;;Valeur;Prélèvement sur les films pornographiques ou d'incitation à la violence et sur les représentations théâtrales à caractère pornographique (CGI, art. 1605  sexies);
3310A;18;JP;MOA;C516.5004.01;NON;;Valeur;Taxe pour le financement du fonds de soutien aux collectivités territoriales ayant contracté des produits structurés (CGI, art. 235 ter ZE bis);
3310A;18;JQ;MOA;C516.5004.01;NON;;Valeur;Redevance sanitaire d'abattage (CGI, art. 302 bis N à 302 bis R);
3310A;18;JR;MOA;C516.5004.01;NON;;Valeur;Redevance sanitaire de découpage (CGI, art. 302 bis S à 302 bis W);
3310A;18;KA;MOA;C516.5004.01;NON;;Valeur;Ligne 1 utilisable pour une nouvelle taxe assimilée créée en cours d'année  (ligne à blanc);
3310A;18;KB;MOA;C516.5004.01;NON;;Valeur;Ligne 2 utilisable pour une nouvelle taxe assimilée créée en cours d'année (ligne à blanc);
3310A;18;KC;MOA;C516.5004.01;NON;;Valeur;Ligne 3 utilisable pour une nouvelle taxe assimilée créée en cours d'année (ligne à blanc);
3310A;18;KD;MOA;C516.5004.01;NON;;Valeur;Ligne 4 utilisable pour une nouvelle taxe assimilée créée en cours d'année (ligne à blanc);
3310A;18;KE;MOA;C516.5004.01;NON;;Valeur;Ligne 5 utilisable pour une nouvelle taxe assimilée créée en cours d'année (ligne à blanc);
3310A;18;KF;MOA;C516.5004.01;NON;;Valeur;Taxe sur la publicité diffusée par les chaînes de télévision;
3310A;18;KG;MOA;C516.5004.01;NON;;Valeur;Taxe sur les services fournis par les opérateurs de communication électronique;
3310A;18;KJ;MOA;C516.5004.01;NON;;Valeur;Taxe sur la diffusion en vidéo physique et en ligne de contenus audiovisuels au taux de  2%;
3310A;18;KL;MOA;C516.5004.01;NON;;Valeur;Taxe sur la diffusion en vidéo physique et en ligne de contenus audiovisuels au taux de 10%;
3310A;18;KT;MOA;C516.5004.01;NON;;Valeur;Contribution due par les gestionnaires des réseaux publics d'électricité  (Article L 2224-31 I bis du code général des collectivités territoriales);
3310A;18;KU;MOA;C516.5004.01;NON;;Valeur;Taxe sur les contrats d'échange sur défaut d'un Etat (CGI, art.235 ter ZD ter);
3310A;18;KX;MOA;C516.5004.01;NON;;Valeur;Redevance sanitaire pour le contrôle de certaines substances et de leurs résidus (CGI, art. 302 bis WC);
